,probability
0,0.0
1,0.406
2,0.431
3,0.431
4,0.416
5,0.421
6,0.423
7,0.43
8,0.429
9,0.434
10,0.435
11,0.438
12,0.442
13,0.446
14,0.445
15,0.445
16,0.443
17,0.443
18,0.444
19,0.446
20,0.447
21,0.449
22,0.45
23,0.449
24,0.451
25,0.452
26,0.453
27,0.453
28,0.454
29,0.454
30,0.454
31,0.455
32,0.456
33,0.456
34,0.457
35,0.457
36,0.456
37,0.456
38,0.457
39,0.457
40,0.458
41,0.458
42,0.458
43,0.457
44,0.457
45,0.457
46,0.458
47,0.458
48,0.458
49,0.459
50,0.46
51,0.46
52,0.46
53,0.46
54,0.46
55,0.461
56,0.461
57,0.462
58,0.462
59,0.462
60,0.462
61,0.462
62,0.462
63,0.462
64,0.462
65,0.462
66,0.461
67,0.461
68,0.461
69,0.461
70,0.46
71,0.461
72,0.461
73,0.462
74,0.461
75,0.462
76,0.461
77,0.461
78,0.461
79,0.461
80,0.462
81,0.462
82,0.462
83,0.462
84,0.462
85,0.462
86,0.462
87,0.463
88,0.463
89,0.463
90,0.463
91,0.463
92,0.463
93,0.463
94,0.463
95,0.463
96,0.463
97,0.463
98,0.463
99,0.463
100,0.464
101,0.464
102,0.464
103,0.464
104,0.464
105,0.464
106,0.464
107,0.465
108,0.465
109,0.465
110,0.465
111,0.465
112,0.464
113,0.464
114,0.464
115,0.464
116,0.464
117,0.464
118,0.464
119,0.464
120,0.464
121,0.465
122,0.465
123,0.465
124,0.465
125,0.465
126,0.465
127,0.465
128,0.465
129,0.465
130,0.465
131,0.465
132,0.465
133,0.465
134,0.465
135,0.465
136,0.465
137,0.465
138,0.465
139,0.465
140,0.465
141,0.466
142,0.466
143,0.466
144,0.466
145,0.466
146,0.466
147,0.466
148,0.466
149,0.466
150,0.466
151,0.466
152,0.466
153,0.466
154,0.466
155,0.466
156,0.466
157,0.466
158,0.466
159,0.466
160,0.466
161,0.466
162,0.466
163,0.466
164,0.466
165,0.466
166,0.466
167,0.466
168,0.466
169,0.466
170,0.466
171,0.466
172,0.466
173,0.466
174,0.466
175,0.466
176,0.466
177,0.466
178,0.466
179,0.466
180,0.466
181,0.466
182,0.467
183,0.466
184,0.466
185,0.466
186,0.466
187,0.466
188,0.466
189,0.466
190,0.466
191,0.466
192,0.466
193,0.466
194,0.466
195,0.466
196,0.466
197,0.466
198,0.466
199,0.466
200,0.466
201,0.466
202,0.466
203,0.466
204,0.466
205,0.466
206,0.466
207,0.466
208,0.466
209,0.466
210,0.466
211,0.466
212,0.466
213,0.466
214,0.466
215,0.466
216,0.467
217,0.466
218,0.466
219,0.466
220,0.466
221,0.466
222,0.466
223,0.466
224,0.466
225,0.466
226,0.466
227,0.466
228,0.466
229,0.466
230,0.466
231,0.466
232,0.466
233,0.466
234,0.466
235,0.466
236,0.466
237,0.466
238,0.466
239,0.467
240,0.467
241,0.467
242,0.467
243,0.467
244,0.467
245,0.467
246,0.467
247,0.467
248,0.467
249,0.467
250,0.467
251,0.467
252,0.467
253,0.467
254,0.467
255,0.467
256,0.467
257,0.467
258,0.467
259,0.466
260,0.466
261,0.466
262,0.466
263,0.466
264,0.466
265,0.466
266,0.466
267,0.466
268,0.466
269,0.467
270,0.467
271,0.466
272,0.467
273,0.467
274,0.467
275,0.467
276,0.467
277,0.467
278,0.467
279,0.467
280,0.467
281,0.467
282,0.467
283,0.467
284,0.467
285,0.467
286,0.467
287,0.467
288,0.467
289,0.467
290,0.467
291,0.467
292,0.467
293,0.467
294,0.467
295,0.467
296,0.467
297,0.467
298,0.467
299,0.467
300,0.467
301,0.467
302,0.467
303,0.466
304,0.466
305,0.466
306,0.467
307,0.466
308,0.466
309,0.466
310,0.466
311,0.466
312,0.466
313,0.466
314,0.466
315,0.466
316,0.466
317,0.466
318,0.466
319,0.466
320,0.466
321,0.466
322,0.466
323,0.466
324,0.466
325,0.466
326,0.466
327,0.466
328,0.466
329,0.466
330,0.466
331,0.466
332,0.466
333,0.466
334,0.466
335,0.466
336,0.466
337,0.466
338,0.466
339,0.466
340,0.466
341,0.466
342,0.466
343,0.466
344,0.466
345,0.466
346,0.466
347,0.466
348,0.466
349,0.467
350,0.467
351,0.467
352,0.466
353,0.467
354,0.467
355,0.467
356,0.467
357,0.467
358,0.467
359,0.467
360,0.467
361,0.467
362,0.466
363,0.466
364,0.467
365,0.467
366,0.467
367,0.466
368,0.466
369,0.466
370,0.466
371,0.466
372,0.466
373,0.466
374,0.466
375,0.466
376,0.466
377,0.466
378,0.466
379,0.466
380,0.466
381,0.466
382,0.466
383,0.466
384,0.466
385,0.466
386,0.466
387,0.466
388,0.466
389,0.466
390,0.466
391,0.466
392,0.466
393,0.466
394,0.466
395,0.466
396,0.466
397,0.466
398,0.466
399,0.466
400,0.466
401,0.466
402,0.466
403,0.466
404,0.466
405,0.466
406,0.466
407,0.466
408,0.466
409,0.466
410,0.466
411,0.467
412,0.467
413,0.467
414,0.467
415,0.467
416,0.467
417,0.467
418,0.467
419,0.467
420,0.467
421,0.467
422,0.467
423,0.467
424,0.467
425,0.467
426,0.467
427,0.466
428,0.466
429,0.466
430,0.466
431,0.467
432,0.467
