,Step
0,479.0
1,390.0
2,407.0
3,425.0
4,384.0
5,368.0
6,335.0
7,283.0
8,322.0
9,183.0
10,254.0
11,192.0
12,209.0
13,187.0
14,253.0
15,224.0
16,204.0
17,229.0
18,183.0
19,200.0
20,208.0
21,234.0
22,267.0
23,213.0
24,260.0
25,222.0
26,201.0
27,230.0
28,243.0
29,204.0
30,174.0
31,176.0
32,216.0
33,216.0
34,188.0
35,140.0
36,184.0
37,185.0
38,214.0
39,219.0
40,148.0
41,174.0
42,165.0
43,206.0
44,209.0
45,209.0
46,234.0
47,222.0
48,198.0
49,268.0
50,241.0
51,265.0
52,163.0
53,200.0
54,161.0
55,217.0
56,205.0
57,162.0
58,209.0
59,242.0
60,235.0
61,175.0
62,185.0
63,152.0
64,202.0
65,239.0
66,194.0
67,220.0
68,166.0
69,167.0
70,234.0
71,247.0
72,213.0
73,213.0
74,191.0
75,218.0
76,195.0
77,161.0
78,203.0
79,231.0
80,200.0
81,194.0
82,205.0
83,168.0
84,180.0
85,237.0
86,172.0
87,194.0
88,215.0
89,181.0
90,156.0
91,221.0
92,194.0
93,146.0
94,181.0
95,143.0
96,237.0
97,160.0
98,199.0
99,193.0
100,132.0
101,171.0
102,207.0
103,172.0
104,227.0
105,201.0
106,176.0
107,166.0
108,169.0
109,175.0
110,218.0
111,209.0
112,161.0
113,213.0
114,190.0
115,228.0
116,189.0
117,222.0
118,173.0
119,163.0
120,151.0
121,161.0
122,183.0
123,186.0
124,140.0
125,205.0
126,172.0
127,181.0
128,169.0
129,237.0
130,128.0
131,136.0
132,162.0
133,153.0
134,174.0
135,137.0
136,253.0
137,201.0
138,196.0
139,225.0
140,149.0
141,207.0
142,232.0
143,167.0
144,164.0
145,149.0
146,245.0
147,197.0
148,169.0
149,181.0
150,135.0
151,192.0
152,132.0
153,204.0
154,177.0
155,215.0
156,150.0
157,135.0
158,100.0
159,163.0
160,150.0
161,187.0
162,183.0
163,155.0
164,195.0
165,144.0
166,192.0
167,147.0
168,201.0
169,192.0
170,214.0
171,200.0
172,161.0
173,177.0
174,156.0
175,202.0
176,214.0
177,214.0
178,155.0
179,105.0
180,158.0
181,189.0
182,158.0
183,173.0
184,158.0
185,154.0
186,170.0
187,202.0
188,191.0
189,223.0
190,173.0
191,133.0
192,150.0
193,218.0
194,176.0
195,139.0
196,208.0
197,181.0
198,227.0
199,162.0
200,177.0
201,196.0
202,207.0
203,190.0
204,221.0
205,199.0
206,204.0
207,213.0
208,168.0
209,241.0
210,162.0
211,191.0
212,155.0
213,229.0
214,192.0
215,193.0
216,140.0
217,148.0
218,234.0
219,160.0
